url,url_brand,phishing,category
en.wikipedia.org/wiki/Dead_Space_(video_game),Wikipedia,0,1
www.angelfire.com/in3/delilah7/index.html,Angelfire,0,1
www.amazon.com/exec/obidos/ASIN/0201342758,Amazon,0,1
www.mindspring.com/~inoslon,Mindspring,0,1
disney.go.com/educational/,Disney,0,1
www.angelfire.com/my/teri/,Angelfire,0,1
www.microsoft.com/sharepoint/,Microsoft,0,1
www.panasonic.com/business/toughbook/home.asp,Panasonic,0,1
www.computelligence.org/sis,Computelligence,0,1
www.autodesk.com/map,Autodesk,0,1
http://131.68.169.103/msj/0799/directx/directx.aspx,Microsoft,1,1
http://127.96.133.53/computer/artificial/book/978-0-7923-8684-1,Springer,1,1
http://115.14.119.44/wa/djawa/,Angelfire,1,1
http://132.59.176.89/journals,Wiley,1,1
http://120.87.168.79/clipart.php,GreenNature,1,1
http://112.89.166.67/exec/obidos/ASIN/0201116693,Amazon,1,1
http://150.33.134.40//typography/otfntdev/bengalot/default.htm,Microsoft,1,1
http://178.51.177.71/modeling/,Eclipse,1,1
http://158.46.148.27/users/,Microsoft,1,1
http://149.76.123.30/objects/903/,xbox360,1,1
http://104.95.154.55/1860/Dead-Space/,xbox360,1,1
http://145.89.173.70/catalog/9780596527310/,Oreilly,1,1
http://145.36.134.48/wiki/Dead_Space_(video_game),Wikipedia,1,1
http://148.21.158.89/secure,Online SBI,1,1
http://104.30.146.16/secure-account,Instagram,1,1
http://149.50.144.83/secure,Google,1,1
http://158.49.135.63/exec/obidos/ASIN/1572316969,Amazon,1,1
http://125.87.174.21/software/autogen/,GNU,1,1
http://168.13.130.85/catalog/9780596002145/,Oreilly,1,1
http://159.89.132.98/games/en-US/aboutGFW/pages/directx.aspx,Microsoft,1,1
http://154.14.119.42/goth/devilmaycrytonite/,Angelfire,1,1
http://125.50.117.69/products,Flipkart,1,1
http://169.36.134.99/developerworks/linux/library/l-metaprog1.html,IBM,1,1
http://102.76.116.87/s/url=search-alias\%3Dstripbooks&amp;field-keywords=z+programming',Amazon,1,1
http://158.67.128.86/developerworks/linux/library/l-metaprog2.html,IBM,1,1
http://127.80.135.94/developerworks/linux/library/l-metaprog3/,IBM,1,1
http://135.87.142.67/ny3/mydragons/,Angelfire,1,1
http://143.50.164.91/secure,Facebook,1,1
http://112.23.154.76/secure-login,Paypal,1,1
http://162.96.132.92/cart,Amazon,1,1
http://123.35.128.77/apps/pubs/,Microsoft,1,1
www.oracle.com/solutions/business_intelligence/exadata.html,Oracle,0,2
en.wikipedia.org/wiki/Google,Wikipedia,0,2
www.volvo.com/volvopenta/,Volvo,0,2
